CIN_Number,Company Name,Net_Profit(14-15),CSR_spent(14-15),Net_Profit(15-16),CSR_spent(15-16),Net_Profit(16-17),CSR_spent(16-17),Net_Profit(17-18),CSR_spent(17-18),Net_Profit(18-19),CSR_spent(18-19)
L65990GJ1992PLC017460,Arfin India Limited,NA,NA,4.72,0,7.1,0.24,0,0,22.06,0
L65990MH1913PLC000374,Industrial And Prudential Investment Company Limited,4.9,0,5.15,0.1,0,0,0,0,NA,NA
L65990MH1933PLC001998,Industrial Investment Trust Limited,10.3,0.21,12.22,0.11,10.05,0.21,3.53,0.08,NA,NA
L65990MH1945PLC004558,Mahindra And Mahindra Limited,4151.74,83.03,4247.45,85.9,4165.21,83.3,4063.55,81.98,4668.68,93.5
L65990MH1977PLC019986,CENTRUM CAPITAL LIMITED,NA,NA,0,0,8.63,0.17,NA,NA,-39.29,0.23
L65990MH1978PLC020080,MARATHON NEXTGEN REALTY LIMITED,NA,NA,0,0,0,1.44,0,1.85,0,1.75
L65990MH1983PLC029197,GENESYS INTERNATIONAL CORPORATIONLIMITED,NA,NA,0,0,0,0,0,0,21.27,0.15
L65990MH1984PLC031909,Pioneer Investcorp Limited,3.25,0.07,2.64,0.05,3.49,0.07,10.38,0.21,6.51,0.13
L65990MH1984PLC032831,Lkp Finance Limited,8.69,0.18,14,0.08,13.79,0.33,16.26,0.35,15.16,0.35
L65990MH1984PLC033519,Gufic Biosciences Limited,4.84,0.1,6.02,0.12,7.98,0.16,0,0,NA,NA
L65990MH1984PLC033878,Ruchi Infrastructure Limited,9.59,0.04,0,0.06,NA,NA,NA,NA,NA,NA
L65990MH1985PLC037697,Weizmann Forex Limited,29.74,0.6,29.62,0.61,31.65,0.64,34.86,0.7,NA,NA
L65990MH1985PLC038164,Weizmann Limited,NA,NA,NA,NA,NA,NA,4.2,0.08,4.96,0.1
L65990MH1987PLC044571,INFRASTRUCTURE LEASING AND FINANCIALSERVICES LIMITED,NA,NA,145.32,2.53,161.69,1.44,NA,NA,NA,NA
L65990MH1990PLC056669,Vakrangee Limited,125.26,2.51,0,2.87,0,9.32,634.67,4.24,805.75,0.93
L65990MH1990PLC057923,Tcfc Finance Limited,2.2,0,3.95,0.12,5.52,0.11,5.02,0.1,NA,NA
L65990PN1977PLC141282,DALAL STREET INVESTMENTS LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,3.1,0
L65990WB1913PLC218486,INDUSTRIAL AND PRUDENTIAL INVESTMENT COMPANY LIMITED,NA,NA,5.16,0,5.16,0,0,0,7.43,0.25
L65991DL1990PLC041796,Satin Creditcare Network Limited,10.29,0.12,25.14,0.51,52.47,1.05,57.06,1.14,0,0
L65991DL1996PLC083909,Insecticides (India) Limited,46,0,53.07,0.11,54.23,1.08,64.68,1.51,83.32,1.68
L65991MH1999PLC123027,HDFC ASSET MANAGEMENT COMPANY LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,808.54,16.98
L65991TN1936PLC001428,Beardsell Limited,3.53,0.07,2.34,0.05,2.37,0.05,0,0,5.55,0.22
L65991TN1941PLC001128,The Kcp Limited,42.41,0.77,22.33,0.45,29.94,0.6,45.44,0.54,61.67,1.09
L65991TN1954PLC000958,India Motor Parts & Accessories Limited,0,0.83,39.9,0.8,37.9,0.76,37.01,0.74,38.27,0.76
L65993CH1983PLC041774,EMERALD LEASING FINANCE AND INVESTMENT COMPANY LIMITED,NA,NA,NA,NA,NA,NA,0,0.01,NA,NA
L65993DL1970PLC146414,Nalwa Sons Investments Limited Tfr.From Haryana To Delhi,19.21,0,14.25,0.23,14.16,0.02,12.41,0.14,12.63,0.37
L65993DL1985PLC314861,Acme Resources Limited,NA,NA,7.85,0.15,7.85,0.15,0,0,5.8,0.5
L65993DL1992PLC048753,Niit Technologies Limited,181.4,3.63,179.5,3.59,18.76,4.58,166.3,4.7,191,4.96
L65993GJ1995PLC064810,ADITYA BIRLA MONEY LIMITED,NA,NA,NA,NA,NA,NA,7.3,0.15,9.6,0.19
L65993PN2007PLC130076,Bajaj Auto Limited.,4316.5,86.33,4323.05,86.46,4745.42,94.91,4991.41,98.2,5559.8,109.04
L65993PN2009PLC134021,Bf Investment Limited,10.07,0.44,10.07,0.44,7.84,0,17.31,0,NA,NA
L65993PN2009PLC134196,Kalyani Investment Company Limited,8.18,0.44,8.18,0.44,5.14,0.1,3.31,0.07,NA,NA
L65993TN1978PLC007576,Cholamandalam Investment And Finance Company Limited,430.37,5.74,552.74,11.3,692.73,13.86,877.85,17.57,1153.22,23.07
L65993TN1993PLC024142,Polaris Consulting & Services Limited,165.62,3.31,152.17,3.04,144.24,0,0,0,NA,NA
L65993TN2004PLC052856,Rane (Madras) Limited,32.67,0.61,27.01,0.57,23.74,0.48,22.28,0.99,35.63,1.08
L65993WB1897PLC001409,Cheviot Co Ltd,37.32,0.75,36.39,0.73,40.17,0.8,45.19,0.91,54.79,1.1
L65993WB1979PLC032394,Ludlow Jute & Specialities Limited,NA,NA,3.46,0,1.85,0.04,4.3,0.04,7.48,0.08
L65993WB1983PLC080793,A T N INTERNATIONAL LIMITED,NA,NA,NA,NA,39.84,0.8,0,0,NA,NA
L65993WB1985PLC082197,Acme Resources Limited,7.77,0,11.61,0,0,0,0,0,NA,NA
L65993WB1993PLC060377,Golden Goenka Fincorp Limited,4.56,0.1,4.56,0.1,7.65,0.16,0,0,15.47,0.31
L65999DL1978PLC099476,Oscar Investments Limited,90.51,0,47.61,0,23.87,0.5,36,0.72,NA,NA
L65999DL1984PLC019465,Vikas Ecotech Limited,5.16,0.1,4.7,0.09,10.88,0.22,27.07,0.56,0,0.56
L65999DL1985PLC021255,Global Credit Capital Limited,NA,NA,2.83,0,NA,NA,NA,NA,NA,NA
L65999DL1985PLC022723,APOLLO PIPES LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,18.4,0.4
L65999DL2006PLC153373,Ptc India Financial Services Limited,155.67,0.25,247.77,0,333.47,0,439.73,0.81,475.67,9.16
L65999KA2004PLC035329,Ujjivan Financial Services Limited,NA,NA,156.78,2.68,156.78,2.68,235.78,1.52,198.61,3.51
L65999MH1986PLC147981,Il & Fs Investment Managers Limited,67.13,0.44,70.83,1.42,72.42,1.45,56.4,1.07,38.63,0.81
L65999MH2003PLC250504,Bharat Financial Inclusion Limited,NA,NA,NA,NA,155.96,4.66,322.1,4.25,NA,NA
L65999PN2009PLC133794,Kirloskar Brothers Investments Limited,69.93,1.4,0,0,0,0,NA,NA,NA,NA
L65999WB2001GOI093759,Balmer Lawrie Investments Limited,5.63,0,5.17,0,5.67,0.11,5.86,0.12,5.91,0
L66000MH1919GOI000526,THE NEW INDIA ASSURANCE COMPANY LIMITED,NA,NA,1574.83,10.11,1348.41,18.95,1140.65,13.41,1497.96,29.68
L66010MH2000PLC127837,Icici Prudential Life Insurance Company Limited,NA,NA,1086.96,21.88,1086.96,21.88,1150.44,23.05,1126.42,22.69
L67020WB1979PLC031867,Kanak Projects Ltd,27.78,0.56,9.82,0.2,11.29,0,13.48,0,12.99,0
L67100DD1983PLC004760,DOLAT INVESTMENTS LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,17.78,0
L67100GA1993PLC001341,SMARTLINK HOLDINGS LIMITED,NA,NA,NA,NA,NA,NA,9.32,0.19,9.6,0.2
L67100MH2013PLC241104,L&T INFRA DEBT FUND LIMITED,NA,NA,17.84,0.36,29.4,0.62,54.48,1.09,94.19,1.88
L67120AP1995PLC019521,STEEL CITY SECURITIES LIMITED,NA,NA,NA,NA,6.86,0.14,7.56,0.15,9.45,0.19
L67120CT1982PLC001961,CHHATISGARH INVESTMENTS LIMITED,0,0,3.03,0.06,4.24,0.15,199.65,0.82,NA,NA
L67120DL1946PLC000997,HINDUSTAN COMMERCIAL INVESTMENT TRUST LIMITED,NA,NA,NA,NA,13.33,0.27,0,0,NA,NA
L67120DL1981PLC179487,MAX HEIGHTS INFRASTUCTURE LIMITED,NA,NA,NA,NA,13.19,0.26,NA,NA,NA,NA
L67120DL1983PLC016587,Negolice India Limited,3.54,0.07,5.26,0.11,NA,NA,NA,NA,NA,NA
L67120GJ2002PLC040636,WEALTH FIRST PORTFOLIO MANAGERS LIMITED,NA,NA,NA,NA,NA,NA,0,0.09,6.31,0.13
L67120HR1994PLC034148,Hb Portfolio Limited,4.91,0.11,4.91,0.1,2.67,0.05,NA,NA,3.16,0.07
L67120KA1987PLC032636,Manjushree Technopack Limited,35.81,0.72,42.16,0.84,0,0,0,0,NA,NA
L67120KL1994PLC007726,Muthoot Capital Services Limited,29.62,0.6,22.45,0.34,22.45,0.34,38.6,0.55,54.7,1.31
L67120KL1994PLC008265,Inditrade Capital Limited,NA,NA,1.22,0.02,3.21,0.06,4.8,0.02,3.55,0.02
L67120KL1994PLC008403,Geojit Financial Services Limited,NA,NA,68.96,1.37,0,1.34,0,1.53,0,1.68
L67120MH1972PLC015871,SUNRISE INDUSTRIAL TRADERS LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,4.89,0.1
L67120MH1979PLC022039,SHREENATH INVESTMENT COMPANY LIMITED,NA,NA,NA,NA,NA,NA,0.58,0,NA,NA
L67120MH1982PLC026724,PRIME SECURITIES LIMITED,NA,NA,NA,NA,0,0,2.73,0.19,0,0.12
L67120MH1982PLC331831,CHHATISGARH INVESTMENTS LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,192.38,3.85
L67120MH1986PLC038784,Jm Financial Limited,7.8,0.16,11.68,0.24,10.85,0.22,5.54,0.12,0,0.22
L67120MH1987PLC042363,Crisil Limited,288.8,4.14,288.8,4.1402075,341.99,7.27,361.43,7.27,NA,NA
L67120MH1992PLC070121,Prime Property Development Corporation Limited,3.68,0.07,5.9,0.11,0,0.06,8.78,0.29,8.99,0.03
L67120MH1993PLC070739,Chokhani Securities Limited,3.16,0,3.24,0,3.55,0,2.43,0.2,NA,NA
L67120MH1993PLC074278,LADDERUP FINANCE LIMITED,NA,NA,NA,NA,NA,NA,5.72,0.25,7.22,0.07
L67120MH1994PLC080039,LKP SECURITIES LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,2.96,0.04
L67120MH1995PLC084899,EMKAY GLOBAL FINANCIAL SERVICES LIMITED,NA,NA,NA,NA,NA,NA,1.74,0.03,15.56,0.08
L67120MH1995PLC086241,ICICI SECURITIES LIMITED,NA,NA,NA,NA,NA,NA,457.99,9.16,NA,NA
L67120MH1997PLC112443,CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED,NA,NA,NA,NA,NA,NA,84.11,1.58,103.1,0.63
L67120MH2001PLC217751,Jsw Holdings Limited,14.7,0.3,23.09,0.46,27.72,0.56,35.65,0.73,NA,NA
L67120MH2005PLC155188,BSE LIMITED,NA,NA,NA,NA,51.13,1.06,81.1,1.6,142.04,2.83
L67120MH2008PLC181833,L&T Finance Holdings Limited,57.6,1.15,NA,NA,17.63,0.35,29.9,0.6,34.22,0.68
L67120MP1992PLC007182,Arihant Capital Markets Limited,NA,NA,5.76,0.02,7.54,0.15,13.97,0.13,20.18,0.27
L67120MP1995PLC008959,Indo Thai Securities Limited,1.04,0,0,0,3.5,0.02,4.19,0.07,7.17,0.08
L67120MP1996PLC010808,WORTH PERIPHERALS LIMITED,NA,NA,NA,NA,NA,NA,9.66,0,13.65,0.1
L67120RJ1951PLC045966,Jk Tyre & Industries Limited,92.29,2.08,236.2,4.76,393.5,4.35,462.73,4.56,359.34,6.45
L67120TG1995PLC020170,Stampede Capital Limited,7.49,0,NA,NA,NA,NA,NA,NA,NA,NA
L67120UP1994PLC050209,SHARE INDIA SECURITIES LIMITED.,NA,NA,NA,NA,NA,NA,8.81,0.28,15.07,0.19
L67120WB1928PLC093924,WESTERN INDIA COMMERCIAL CO LIMITED,NA,NA,NA,NA,NA,NA,5.21,0.11,5.03,0.1
L67120WB1973PLC029135,Aradhana Investments Ltd,10.2,0.2,13.68,0.27,0,0.22,0,1.02,0,0.28
L67120WB1978PLC031561,PINCON SPIRIT LIMITED,0,0,16.83,0.34,0,0.56,0,0,NA,NA
L67120WB1982PLC034468,Orson Holdings Co Ltd,NA,NA,NA,NA,4.3,0,0,0,NA,NA
L67120WB1985PLC120157,Meenakshi Mercantiles Ltd,10.79,0,17.82,0.36,19.95,0.42,0,0,NA,NA
L67120WB1986PLC041487,KLJ RESOURCES LTD,0,0,40.61,0.81,49.62,0.99,58.23,2.11,72.95,1.52
L67120WB1995PLC072026,EAST INDIA SECURITIES LTD,NA,NA,NA,NA,NA,NA,NA,NA,26.79,0.54
L67190DL1990PLC039463,DEE KARTAVYA FINANCE LIMITED,NA,NA,NA,NA,46.5,0.93,0,0,NA,NA
L67190DL1991PLC045857,AVONMORE CAPITAL & MANAGEMENT SERVICESLIMITED,NA,NA,NA,NA,NA,NA,0,0,0,0.06
L67190GJ1984PLC006746,Ausom Enterprise Limited,9.06,0,14.02,0.28,13.63,0.27,11.05,0,NA,NA
L67190MH1990PLC056009,The Byke Hospitality Limited,12.12,0.27,28.23,0.39,40.62,0.58,37.83,0.82,0,1.04
L67190MH1992PLC066856,Panoramic Universal Limited,31.13,0,30.86,0.62,0,0,0,0,NA,NA
L67190MH1993PLC071691,Care Ratings Limited,179.86,3.6,179.62,3.59,185.23,3.95,197.51,0.41,190.64,3.84
L67190MH1993PLC113638,Abm Knowledgeware Limited,23.01,0.46,17.92,0.82,26.95,1.09,29.43,0.59,26.91,0.54
L67190MH1995PLC084306,CORAL INDIA FINANCE AND HOUSING LIMITED,0,0,13.47,0.27,7.78,0.19,0,0.29,11.63,0.24
L67190MH2005PLC153397,Motilal Oswal Financial Services Limited,26.42,0.53,23.2,0.62,29.15,0.58,0,0,226.76,5.17
L67190MH2005PLC158288,Shemaroo Entertainment Limited,36.93,0.57,48.67,0.97,64.89,0.15,82.1,1.66,0,1.94
L67190MH2008PLC183216,RELIANCE HOME FINANCE LIMITED,NA,NA,69.41,1.39,89.9,2.05,137.53,2.75,NA,NA
L67190WB1991PLC050656,Sreeleathers Limited,9.3,0.04,11.2,0.22,13.46,0.49,16.81,0.23,23.5,0.23
L67190WB2014PLC204622,BANDHAN BANK LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,1391.29,30
L67200MH1937PLC002622,Tata Investment Corporation Limited,55.61,1.25,53.94,1.25,46.12,1.25,40.75,2.5,NA,NA
L67200MH1972GOI016133,General Insurance Corporation Of India,NA,NA,3365.95,16.02,3365.95,16.02,3554.93,17.91,3727.35,65.29
L67200MH2000PLC129408,ICICI LOMBARD GENERAL INSURANCE COMPANYLIMITED,NA,NA,480.63,9.71,619.94,12.52,744.14,14.96,907.69,18.37
L70100DD1994PLC001678,Comfort Intech Limited,0,0.04,1.71,0.04,1.78,0,2.03,0,NA,NA
L70100MH1951PLC008647,Ador Welding Limited,25.93,0.47,23.32,0.47,25.84,0.52,29.21,0.33,32.28,0.18
L70100MH1977PLC019916,Housing Development Finance Corporation Limited,6130.73,18.07,8056.97,146.55,8056.97,146.55,7984.32,175.97,8340.57,173.52
L70100MH1996PLC101379,Housing Development And Infrastructure Limited,0,4.38,218.84,0,261.34,0,NA,NA,NA,NA
L70100PN1978PLC088972,KIRLOSKAR INDUSTRIES LIMITED,NA,NA,NA,NA,NA,NA,30.53,0.63,30.3,0.64
L70100PN1986PLC175750,VASCON ENGINEERS LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,7.93,0.13
L70100TG1994PLC018540,SSPDL LIMITED,NA,NA,NA,NA,3.87,0,0,0.03,10.26,0
L70101HR1963PLC002484,Dlf Limited,641,12.82,520,10.4,342.5,6.85,632.81,12.66,480.5,9.61
L70101TN2007PLC065552,Premier Chennai Properties Limited,2.66,0,9.63,0.2,13.76,0.28,13.64,0.28,9.84,0.2
L70101WB1939PLC009800,Texmaco Infrastructure & Holdings Limited,18.14,0.14,14.12,0.28,13.48,4.68,12.71,0.27,12.78,0.25
L70101WB1974PLC104781,Pratap Holdings Limited,NA,NA,NA,NA,0,0.2,0,0,NA,NA
L70102HR1988PLC030379,Hartron Communications Limited,5.5,0.11,NA,NA,NA,NA,0,0,NA,NA
L70109DL1980PLC169318,Camac Commercial Company Limited,NA,NA,5.76,0,5.76,0,5.72,0,6.11,0.04
L70109GJ1983PLC006460,Ratnamani Metals And Tubes Limited,181.1,1.57,221.52,4.43,234.23,4.68,232.38,2.29,0,2.29
L70109MH2007PLC174206,SHREE PRECOATED STEELS LIMITED,0,0,4.32,0,0,0,NA,NA,NA,NA
L70109TG1995PLC019116,Transport Corporation Of India Limited,84.7,1.69,0,0,99.52,1.99,0,0,125.49,0
L70109WB1916PLC002698,BIJNI DOOARS TEA CO LTD,0,0,0,0.21,0,0.04,5.15,0.1,0,0
L70109WB1986PLC040864,Ashiana Housing Limited,45.85,0.9,31.81,0.73,68.37,1.25,0,0,94.82,0.92
L70200MH2002PLC136849,Man Infraconstruction Limited,66.24,1.32,49.48,2.08,41.28,0.99,54.12,2.02,59.34,1.24
L70200MH2007PLC166818,D B Realty Limited,7.88,0.16,6.23,0.12,5.38,0.56,3.79,0.08,NA,NA
L71110MH1962PLC012396,Patel Integrated Logistics Limited (Cn),NA,NA,4.98,0.1,7.38,0.15,7.06,0.07,7.89,0.22
L71200UP1982PLC012550,Ginni Filaments Limited.,3.59,0.07,28.92,0.58,22.93,0.46,17.96,0.36,14.75,0.3
L72100DL1972PLC005971,PERFECTPAC LIMITED,NA,NA,NA,NA,0,0,0,0,2.57,0.05
L72100DL1993PLC179154,Fcs Software Solutions Limited,NA,NA,0.5,0,NA,NA,NA,NA,1.08,0.03
L72100KA1989PLC014226,Sasken Technologies Limited,45.91,0.92,119.4,2.39,214.69,4.29,225.56,0,163.61,3.27
L72100MH1995PLC084788,CYBERTECH SYSTEMS AND SOFTWARE LIMITED,0,0,9.52,0.19,6.11,0.12,6.94,0.14,6.03,0.12
L72100MH2000PLC124689,CRP RISK MANAGEMENT LIMITED,NA,NA,NA,NA,NA,NA,5.31,0.11,NA,NA
L72200AP1990PLC011146,Ncc Limited,42.91,0.86,64.31,1.29,0,0,0,0,NA,NA
L72200AP1990PLC011334,Avantel Limited,3.9,0.1,2.63,0.05,0.11,0,0.87,0.08,0,0.11
L72200DL1988PLC192643,Alchemist Limited,22.5,0.45,NA,NA,NA,NA,NA,NA,NA,NA
L72200DL1992PLC049074,NEWGEN SOFTWARE TECHNOLOGIES LIMITED,NA,NA,NA,NA,NA,NA,53.12,0,62.74,1.23
L72200DL1999PLC171077,Infinite Computer Solutions (India) Limited,93.94,1.88,105.39,2.11,101.89,0.45,0,0,NA,NA
L72200GJ1995PLC024465,SILVER TOUCH TECHNOLOGIES LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,8.15,0.25
L72200KA1990PLC084435,Axiscades Engineering Technologies Limited,9.69,0.19,12.42,0.25,22.37,0.45,25.44,0.51,16.12,0.32
L72200KA1999PLC025564,Mindtree Limited,342.82,4,467.3,9.37,539.7,10.7,522,12.42,546.1,15.04
L72200KA2002PLC030072,XCHANGING SOLUTIONS LIMITED,0,0,0,0,21.96,0.44,0,0.21,0,0.2
L72200MH1986PLC039341,Trigyn Technologies Limited,7.79,0.01,4.71,0.09,4.71,0.09,1.36,0.06,2.02,0.06
L72200MH1987PLC045205,Datamatics Global Services Limited,33.41,0.18,32.96,0.19,36.25,0.73,34.07,0.15,39.26,0.12
L72200MH1989PLC053666,Oracle Financial Services Software Limited,1647.66,32.95,1672.39,24.85,1676.43,33.53,1651.79,33.05,1616.13,32.33
L72200MH1994PLC077342,Geometric Limited,43.7,0.09,50.01,1.01,0,0,0,0,NA,NA
L72200MH1994PLC082110,Sonata Software Limited,33.81,0.64,64.78,1.27,0,1.9,128.75,2.1,138.29,2.87
L72200MH1995PLC085488,Allied Digital Services Limited,NA,NA,1.8,0,6.32,0.13,2.13,0,0,0.07
L72200MH1995PLC091408,QUICK HEAL TECHNOLOGIES LIMITED,NA,NA,NA,NA,93.95,1.88,0,0,104.64,2.84
L72200MH1997PLC110459,Blue Star Infotech Limited,12.41,0.25,0,0,0,0,0,0,NA,NA
L72200MH2000PLC125319,Eclerx Services Limited,695.1,4.64,256.55,5.13,0,0,0,7.12,0,7.72
L72200MP2011PLC025622,INFOBEANS TECHNOLOGIES LIMITED,0,0,6.89,0.14,10.21,0.2,11.11,0.22,15.68,0.31
L72200PN1963PLC012621,Zensar Technologies Limited,197.18,3.94,233.5,4.67,286.82,5.59,252.24,4.98,263.81,5.31
L72200PN1988PLC068972,Indo Count Industries Limited,0.44,0.11,114.1,3.14,231.53,2.47,309.96,2.16,311.65,3.13
L72200PN1990PLC059594,Kpit Technologies Limited,139.29,2.79,195.43,3.91,232.1,0,0,0,214.95,4.34
L72200RJ1995PLC009798,Compucom Software Limited,10.01,0.22,12.2,0.25,11.27,0.23,NA,NA,0,0
L72200RJ2000PLC016272,CAREER POINT LIMITED,0,0,12.47,0.25,22.47,0.45,18.76,0.14,19.4,0.48
L72200TG1975PLC001970,Cmc Limited,209.07,4.18,0,0,0,0,0,0,NA,NA
L72200TG1990PLC011104,Virinchi Limited,NA,NA,NA,NA,0,0.14,0,0.24,0,0.46
L72200TG1990PLC011146,NCC LIMITED,NA,NA,NA,NA,118.61,2.37,233.99,0,306.98,6.14
L72200TG1990PLC011771,SOFTSOL INDIA LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,4.13,0
L72200TG1991PLC013134,Cyient Limited,163.45,3.56,237.84,4.76,290.11,6.2,309.03,7.3,342.4,7.27
L72200TG1992PLC014558,CADSYS ( INDIA ) LIMITED,NA,NA,NA,NA,NA,NA,6.38,0.23,NA,NA
L72200TG1993PLC015939,Zen Technologies Limited,15.03,0.3,8.49,0.22,7.62,0.15,10.67,0.21,NA,NA
L72200TG1993PLC016819,KELLTON TECH SOLUTIONS LIMITED,NA,NA,3.137461233,0.0614243,6.71,0.13,0,0.16,8.25,0.19
L72200TG1994PLC018391,Tera Software Limited,8.04,0.16,NA,NA,NA,NA,11.33,0.23,10.29,0.04
L72200TG1995PLC021262,Tanla Solutions Limited,NA,NA,NA,NA,1.73,0.03,2.03,0.05,1.92,0.14
L72200TG1997PLC026556,APOLLO MICRO SYSTEMS LIMITED,NA,NA,NA,NA,NA,NA,16.74,0.03,24.31,0.74
L72200TG1998PLC029240,VEDAVAAG SYSTEMS LIMITED,NA,NA,NA,NA,4.71,0.1,7.58,0.15,11.18,0.12
L72200TG1998PLC029809,Tyche Industries Limited,7.1,0.05,6.7,0.13,4.52,0.09,3.78,0.05,5.78,0.12
L72200TG1998PLC030081,Cigniti Technologies Limited,10,0.18,4.62,0.31,18.34,0.37,0,0.41,20.73,0
L72200TG1999PLC030997,CAMBRIDGE TECHNOLOGY ENTERPRISES LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,5.23,0
L72200TN1999PLC054429,SAKSOFT LIMITED,0,0,6.69,0.14,NA,NA,10.76,0.08,12.01,0.15
L72200WB1987PLC043375,R S Software (India) Ltd.,54.67,1.09,31.69,0.63,14.21,0.28,13.88,0.01,NA,NA
L72200WB1996PLC079438,Pansari Developers Limited,NA,NA,10.9,0.22,8.29,0.17,4.18,0.08,3,0.07
L72300MH1998PLC114790,Adcc Infocad Limited,5.69,0.11,9.24,0.18,10.74,0.21,0,0.26,NA,NA
L72300MH2013PLC244874,Majesco Limited,NA,NA,0,0.1,2.77,0.06,2.93,0.07,5.49,0.11
L72300PN1990PLC056696,Persistent Systems Limited,257.3,5.15,309.59,6.19,349.34,7,369.02,7.45,395.4,8.04
L72300TN1990PLC019459,Elnet Technologies Limited,7.67,0.15,8.38,0.17,8.97,0.18,10.12,0.2,11.4,0.23
L72300TN1991PLC020122,Pvp Ventures Limited,16.37,0.33,18.49,0.37,5.29,1.29,11.01,0,9.26,0
L72300TN1997PLC037550,RAMCO SYSTEMS LIMITED,NA,NA,NA,NA,4.39,0.09,20.7,0.41,46.35,0.93
L72300TN1998PLC041033,ALLSEC TECHNOLOGIES LIMITED,NA,NA,0,0,6.42,0.13,0,0,18.81,0.38
L72300TN1998PLC041360,APOLLO SINDOORI HOTELS LIMITED,NA,NA,NA,NA,NA,NA,3.36,0.07,6.13,0.12
L72411DL1990PLC042502,KOTHARI FERMENTATION AND BIOCHEM LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,4.97,0.11
L72900DL1986PLC330369,DIGISPICE TECHNOLOGIES LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,8.09,0.36
L72900DL2009PLC341980,E2E NETWORKS LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,5.96,0
L72900DL2011PLC221111,Fourth Dimension Solutions Limited,NA,NA,6.81,0.11,17.03,0.37,0,0,NA,NA
L72900GA2008PLC005775,D-Link (India) Limited.,16.01,0,24.35,0.49,29.16,0.16,31.93,0.83,26.68,0.59
L72900KA2000PLC026980,TEJAS NETWORKS LIMITED,NA,NA,NA,NA,NA,NA,26.73,0.54,48.75,0.98
L72900MH1992PLC069662,HEXAWARE TECHNOLOGIES LIMITED,0,0,372.3428324,2.441301,414.87,7.02,447.8,9.31,NA,NA
L72900MH1996PLC104693,LARSEN & TOUBRO INFOTECH LIMITED,NA,NA,NA,NA,867.48,6.49,956.3,11.66,1109.8,22.39
L72900MH2000PLC123796,Commex Technology Limited,6.38,0.13,0,0,NA,NA,NA,NA,NA,NA
L72900MH2000PLC123841,Aptech Limited,22.19,0.44,24.21,0.48,22.64,0.45,17.91,0,14.73,0
L72900MH2001PLC134244,3D PLM SOFTWARE SOLUTIONS LIMITED,NA,NA,NA,NA,73.37,1.47,78.76,1.5,NA,NA
L72900MH2012PLC232169,L&T TECHNOLOGY SERVICES LIMITED,NA,NA,NA,NA,255,3.6,419.19,5.6,513.27,10.13
L72900TN2011PLC080183,INTELLECT DESIGN ARENA LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,-12.67,2.31
L72900UP1986PLC008448,Spice Mobility Limited,NA,NA,22.64,0.45,NA,NA,NA,NA,NA,NA
L74100AP1999PLC031191,Steel Exchange India Limited,39.08,0.6,38.07,0.76,25.71,0.51,-39.7,0.13,-106.62,0.15
L74100DL1961PLC003413,MAWANA SUGARS LIMITED,NA,NA,NA,NA,NA,NA,0,0.07,NA,NA
L74100MH1993PLC075361,Camlin Fine Sciences Limited,25.88,0.52,31.78,0.64,36.08,0.72,22.75,0.46,NA,NA
L74110DD1994PLC001678,COMFORT INTECH LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,4.17,0
L74110GJ2000PLC037472,Kushal Tradelink Limited,NA,NA,NA,NA,7.88,0.16,9.21,0.18,11.2,0.23
L74110MH1985PLC037900,YASHO INDUSTRIES LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,6.09,0.13
L74110MH1995PLC093448,GARNET INTERNATIONAL LIMITED,NA,NA,NA,NA,NA,NA,4.06,0,7.11,0
L74110MH2001PLC133050,SECUR CREDENTIALS LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,3.3,0
L74110WB1895PLC000963,THE GROB TEA CO LTD,NA,NA,NA,NA,NA,NA,NA,NA,3.34,0.07
L74120MH1985PLC035308,Godrej Properties Limited,106.56,1.47,108.81,2.18,64.67,1.29,0,0,86.15,1.77
L74140DL1991PLC046369,Hcl Technologies Limited,4499.27,89.99,6106.44,122.13,6458.17,129.16,0,0,7212.27,129.5
L74140GJ1982PLC005215,Mastek Limited,23.92,0.85,47.02,0.94,48.28,1.3,41.97,0.84,26.74,1
L74140GJ2010PLC062548,RIDDHI CORPORATE SERVICES LIMITED,NA,NA,NA,NA,3.53,0,NA,NA,NA,NA
L74140KA2000PLC118395,TEAMLEASE SERVICES LIMITED,NA,NA,NA,NA,NA,NA,40.07,0,52.27,0
