CIN_Number,Company Name,Net_Profit(14-15),CSR_spent(14-15),Net_Profit(15-16),CSR_spent(15-16),Net_Profit(16-17),CSR_spent(16-17),Net_Profit(17-18),CSR_spent(17-18),Net_Profit(18-19),CSR_spent(18-19)
L13100MH1960PLC011601,Acrow India Limited,NA,NA,NA,NA,6.06,0.12,6.18,0.12,NA,NA
L13100TG1958GOI001674,NMDC LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,4854.64,167.24
L13203HR2006PLC049480,SOUTH WEST PINNACLE EXPLORATION LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,9.39,0.19
L13209GA1965PLC000044,Vedanta Limited,0,25.5,0,17.39,0,0,0,0,NA,NA
L13209MH1965PLC291394,VEDANTA LIMITED,NA,NA,NA,NA,NA,NA,0,0,659.01,51.72
L14100GJ1963SGC001206,Gujarat Mineral Development Corporation Limited,743.39,14.86,723.05,14.46,532.67,10.65,466.5,21.91,0,9.44
L14100GJ1995PLC025199,SAURASHTRA CALCINE BAUXITE AND ALLIEDINDUSTRIES LTD,NA,NA,0,0,5.06,0.1,0,0,NA,NA
L14101KA1989PLC062041,Pacific Industries Limited,0,0.14,8.07,0.22,4.81,0.11,1.79,0.04,0,0.04
L14101MH1945PLC256122,Associated Stone Industries (Kotah) Limited,16.29,0.25,22,0.45,22.17,0.44,24.11,0.45,21.8,0.37
L14101RJ1984PLC003134,Elegant Marbles And Grani Industries Limited,4.6,0.1,5.31,0.11,6.51,0.13,6.92,0.15,6.13,0.13
L14101RJ1989PLC004903,Madhav Marbles And Granites Limited,5.45,0.11,8.09,0.16,9.08,0.18,0,0.17,5.42,0.1
L14101RJ1994PLC008930,Inani Marbles And Industries Ltd.,0,0.1,9.2,0.25,6.69,0.13,4.64,0.09,2.25,0.22
L14101UP1977PLC021546,Orient Bell Limited,9.76,0.2,8.65,0.18,9.65,0.19,17.07,0.34,22.42,0.45
L14102TG1991PLC013299,Pokarna Limited,5.3,0.11,13.25,0.31,21.67,0.65,25.82,0.11,23.52,0.01
L14103OR2000PLC006230,Arss Infrastructure Projects Limited,NA,NA,NA,NA,8,0.16,NA,NA,NA,NA
